filename,status,training_value_score,quality_flags,curation_reasons,demo_category,source_title,source_url,license,attribution,clip_start_sec,clip_duration_sec,source_path,exported_clip_path,thumbnail_path,display_w,display_h,effective_fps,duration,brightness_score,blur_score,motion_score,camera_stability_score,static_duplicate_score,dark_ratio,blurry_ratio,max_cut_score,hand_visible_ratio,hand_presence_score,hand_motion_score,hand_count_distribution,hand_region_distribution,egocentric_proxy_score,wide_lens_score,wide_lens_confidence,max_motion_score,total_shaky_sec,manual_status,label_status,task,objects,task_outcome,environment,time_of_day,notes,gate_result,hands_detail,perspective_detail,stability_detail,missing_hand_segments,dark_segments,blurry_segments,jump_cut_candidates
ambiguous_spacewalk_glare.mp4,low_value,0.3283,third_person_likely,non-wide-lens framing (wide_lens_score=0.24); automated_quality_filter; non_egocentric_view,ambiguous,Action Cam Footage from U.S. Spacewalk -41,https://commons.wikimedia.org/wiki/File:Action_Cam_Footage_from_U.S._Spacewalk_-41.webm,Wikimedia Commons,Action Cam Footage from U.S. Spacewalk -41,100,20,/Users/lucas/Desktop/Sieve2/raw_input/ambiguous_spacewalk_glare.mp4,,exports/thumbnails/ambiguous_spacewalk_glare.jpg,1920,1080,29.97,20.02,1.0,0.875,0.0812,0.6925,0.1872,0.0,0.125,0.487,,0.0,0.0,{},{},0.0,0.2382,0.7494,43.05,0.0,pending,pending,,,,,,,FAIL_AUTOGATE,skipped (early-exit: perspective fail),non-wide-lens framing (wide_lens_score=0.24),stable (max_motion=43.0),[],[],"[{""end_fmt"": ""00:10"", ""end_time"": 10.98, ""start_fmt"": ""00:08"", ""start_time"": 8.48}]",[]
high_value_pov_snowmobile.mp4,low_value,0.3267,third_person_likely,non-wide-lens framing (wide_lens_score=0.30); automated_quality_filter; non_egocentric_view,high_value_pov,First person view from a snowmobile driven by the FBI Hostage Rescue Team in Yellowstone National Park,https://commons.wikimedia.org/wiki/File:First_person_view_from_a_snowmobile_driven_by_the_FBI_Hostage_Rescue_Team_in_Yellowstone_National_Park.webm,Wikimedia Commons,First person view from a snowmobile driven by the FBI Hostage Rescue Team in Yellowstone National Park,0,20,/Users/lucas/Desktop/Sieve2/raw_input/high_value_pov_snowmobile.mp4,,exports/thumbnails/high_value_pov_snowmobile.jpg,1920,1080,59.94,20.003,1.0,1.0,0.0662,0.4206,0.0079,0.0,0.0,0.353,,0.0,0.0,{},{},0.0,0.2988,0.9381,81.12,0.0,pending,pending,,,,,,,FAIL_AUTOGATE,skipped (early-exit: perspective fail),non-wide-lens framing (wide_lens_score=0.30),stable (max_motion=81.1),[],[],[],[]
high_value_pov_whitewater.mp4,low_value,0.2647,third_person_likely; blur,non-wide-lens framing (wide_lens_score=0.31); automated_quality_filter; non_egocentric_view,high_value_pov,"Whitewater kayaking through ""Mini Gorge"" on the Whitewater River, North Carolina, USA",https://commons.wikimedia.org/wiki/File:Whitewater_kayaking_through_%22Mini_Gorge%22_on_the_Whitewater_River%2C_North_Carolina%2C_USA.webm,Wikimedia Commons,"Whitewater kayaking through ""Mini Gorge"" on the Whitewater River, North Carolina, USA",6,18,/Users/lucas/Desktop/Sieve2/raw_input/high_value_pov_whitewater.mp4,,exports/thumbnails/high_value_pov_whitewater.jpg,1920,1080,29.97,18.018,1.0,0.4444,0.1516,0.2811,0.0,0.0,0.5556,0.564,,0.0,0.0,{},{},0.0,0.3125,0.7199,100.64,0.0,pending,pending,,,,,,,FAIL_AUTOGATE,skipped (early-exit: perspective fail),non-wide-lens framing (wide_lens_score=0.31),stable (max_motion=100.6),[],[],"[{""end_fmt"": ""00:01"", ""end_time"": 1.47, ""start_fmt"": ""00:00"", ""start_time"": 0.97}, {""end_fmt"": ""00:17"", ""end_time"": 17.98, ""start_fmt"": ""00:08"", ""start_time"": 8.48}]","[{""prev_time"": 14.48, ""score"": 0.564, ""time"": 14.98, ""time_fmt"": ""00:14""}]"
low_quality_tap_dance.mp4,low_value,0.38,low_resolution,resolution 428x240 (<1280x720); automated_quality_filter,low_quality,Tap Dance Technique,https://commons.wikimedia.org/wiki/File:Tap_Dance_Technique.webm,Wikimedia Commons,Tap Dance Technique,10,20,/Users/lucas/Desktop/Sieve2/raw_input/low_quality_tap_dance.mp4,,exports/thumbnails/low_quality_tap_dance.jpg,428,240,29.97,20.02,1.0,1.0,0.0,1.0,,,,,,0.0,0.0,{},{},0.0,,,,,pending,pending,,,,,,,FAIL_AUTOGATE,skipped,skipped,skipped,[],[],[],[]
pov_no_action_spacewalk.mp4,low_value,0.3274,third_person_likely,non-wide-lens framing (wide_lens_score=0.27); automated_quality_filter; non_egocentric_view,pov_no_action,Action Cam Footage from U.S. Spacewalk -41,https://commons.wikimedia.org/wiki/File:Action_Cam_Footage_from_U.S._Spacewalk_-41.webm,Wikimedia Commons,Action Cam Footage from U.S. Spacewalk -41,45,20,/Users/lucas/Desktop/Sieve2/raw_input/pov_no_action_spacewalk.mp4,,exports/thumbnails/pov_no_action_spacewalk.jpg,1920,1080,29.97,19.987,1.0,1.0,0.0951,0.5076,0.1368,0.0,0.0,0.476,,0.0,0.0,{},{},0.0,0.2689,0.8332,68.93,0.0,pending,pending,,,,,,,FAIL_AUTOGATE,skipped (early-exit: perspective fail),non-wide-lens framing (wide_lens_score=0.27),stable (max_motion=68.9),[],[],[],[]
static_or_duplicate_airplane_hold.mp4,low_value,0.1845,third_person_likely; unstable_camera; blur,super shaky segment around 00:04-00:06 (motion_score=230.91); non-wide-lens framing (wide_lens_score=0.17); automated_quality_filter; non_egocentric_view,static_or_duplicate,Airplane inside while taking off,https://commons.wikimedia.org/wiki/File:Airplane_inside_while_taking_off.webm,Wikimedia Commons,Airplane inside while taking off,80,15,/Users/lucas/Desktop/Sieve2/raw_input/static_or_duplicate_airplane_hold.mp4,,exports/thumbnails/static_or_duplicate_airplane_hold.jpg,1920,1080,29.9,15.015,1.0,0.0345,0.0917,0.0,0.0786,0.0,0.9655,0.75,,0.0,0.0,{},{},0.0,0.1719,0.4978,229.95,2.0,pending,pending,,,,,,,FAIL_AUTOGATE,skipped (early-exit: perspective+stability fail),non-wide-lens framing (wide_lens_score=0.17),super shaky segment around 00:04-00:06 (motion_score=230.91),[],[],"[{""end_fmt"": ""00:05"", ""end_time"": 5.48, ""start_fmt"": ""00:00"", ""start_time"": 0.47}, {""end_fmt"": ""00:14"", ""end_time"": 14.51, ""start_fmt"": ""00:05"", ""start_time"": 5.99}]","[{""prev_time"": 5.99, ""score"": 0.75, ""time"": 6.49, ""time_fmt"": ""00:06""}]"
third_person_village_dance.mp4,low_value,0.38,low_frame_rate,fps 25.0 (<29); automated_quality_filter,third_person,Village Dance,https://commons.wikimedia.org/wiki/File:Village_Dance.webm,Wikimedia Commons,Village Dance,0,11,/Users/lucas/Desktop/Sieve2/raw_input/third_person_village_dance.mp4,,exports/thumbnails/third_person_village_dance.jpg,1920,1080,25.0,11.0,1.0,1.0,0.0,1.0,,,,,,0.0,0.0,{},{},0.0,,,,,pending,pending,,,,,,,FAIL_AUTOGATE,skipped,skipped,skipped,[],[],[],[]
pov_no_action_airplane.mp4,needs_review,0.5594,,manual_review_pending,pov_no_action,Airplane inside while taking off,https://commons.wikimedia.org/wiki/File:Airplane_inside_while_taking_off.webm,Wikimedia Commons,Airplane inside while taking off,28,18,/Users/lucas/Desktop/Sieve2/raw_input/pov_no_action_airplane.mp4,,exports/thumbnails/pov_no_action_airplane.jpg,1920,1080,29.97,17.985,1.0,0.9429,0.0682,0.3912,0.0559,0.0,0.0571,0.329,1.0,0.0,0.0,"{""0"": 1.0, ""1"": 0.0, ""2_plus"": 0.0}","{""horizontal"": {""center"": 0.0, ""left"": 0.0, ""right"": 0.0}, ""lower_center_ratio"": 0.0, ""vertical"": {""lower"": 0.0, ""middle"": 0.0, ""upper"": 0.0}}",0.45,0.3755,0.782,85.23,0.0,pending,pending,,,,,,,PASS_AUTOGATE,hands_visible 1.00,wide_lens_score=0.38,stable (max_motion=85.2),[],[],"[{""end_fmt"": ""00:17"", ""end_time"": 17.48, ""start_fmt"": ""00:16"", ""start_time"": 16.98}]",[]
high_value_pov_horse_cart.mp4,recommended,0.6112,,,high_value_pov,Horse and cart first person,https://commons.wikimedia.org/wiki/File:Horse_and_cart_first_person.webm,Wikimedia Commons,Horse and cart first person,18,18,/Users/lucas/Desktop/Sieve2/raw_input/high_value_pov_horse_cart.mp4,exports/clips/high_value_pov_horse_cart.mp4,exports/thumbnails/high_value_pov_horse_cart.jpg,1280,720,29.97,17.985,1.0,1.0,0.1122,0.7723,0.0,0.0,0.0,0.515,1.0,0.0,0.0,"{""0"": 1.0, ""1"": 0.0, ""2_plus"": 0.0}","{""horizontal"": {""center"": 0.0, ""left"": 0.0, ""right"": 0.0}, ""lower_center_ratio"": 0.0, ""vertical"": {""lower"": 0.0, ""middle"": 0.0, ""upper"": 0.0}}",0.45,0.3222,0.9502,31.88,0.0,recommended,pending,,,,,,,PASS_AUTOGATE,hands_visible 1.00,"wide_lens_score=0.32 (salvaged by edge_falloff=1.05, line_conf=1.00, confidence=0.95)",stable (max_motion=31.9),[],[],[],[]
high_value_pov_horse_cart_alt.mp4,recommended,0.5765,,,high_value_pov,Horse and cart first person,https://commons.wikimedia.org/wiki/File:Horse_and_cart_first_person.webm,Wikimedia Commons,Horse and cart first person,70,18,/Users/lucas/Desktop/Sieve2/raw_input/high_value_pov_horse_cart_alt.mp4,exports/clips/high_value_pov_horse_cart_alt.mp4,exports/thumbnails/high_value_pov_horse_cart_alt.jpg,1280,720,29.97,18.018,1.0,1.0,0.1,0.4416,0.0086,0.0,0.0,0.345,1.0,0.0,0.0,"{""0"": 1.0, ""1"": 0.0, ""2_plus"": 0.0}","{""horizontal"": {""center"": 0.0, ""left"": 0.0, ""right"": 0.0}, ""lower_center_ratio"": 0.0, ""vertical"": {""lower"": 0.0, ""middle"": 0.0, ""upper"": 0.0}}",0.45,0.3293,0.9423,78.17,0.0,recommended,pending,,,,,,,PASS_AUTOGATE,hands_visible 1.00,"wide_lens_score=0.33 (salvaged by edge_falloff=1.01, line_conf=1.00, confidence=0.94)",stable (max_motion=78.2),[],[],[],[]
